Date_Time,AQI,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3
2025-10-14 16:00,3,119.8,0.01,0.11,94.3,0.89,23.7,58.21,0
2025-10-14 17:00,3,118.36,0.01,0.12,91.89,0.82,22.87,56.73,0
2025-10-14 18:00,3,117.61,0,0.14,90.47,0.78,22.36,55.89,0
2025-10-14 19:00,3,117.01,0,0.14,89.48,0.75,21.99,55.31,0
2025-10-14 20:00,3,117.17,0,0.13,89.83,0.76,22.08,55.67,0
2025-10-14 21:00,3,117.59,0,0.12,90.44,0.79,22.44,56.51,0
2025-10-14 22:00,3,117.98,0,0.11,90.56,0.8,22.7,57.04,0
2025-10-14 23:00,3,118.7,0,0.11,91.37,0.84,23.2,58.27,0
2025-10-15 00:00,3,119.87,0,0.11,92.7,0.89,24.05,60.2,0
2025-10-15 01:00,3,120.08,0,0.1,92.83,0.89,24.22,60.33,0
2025-10-15 02:00,3,120.34,0,0.1,93.16,0.89,24.44,60.64,0
2025-10-15 03:00,3,121.08,0,0.1,94.12,0.92,24.94,61.6,0
2025-10-15 04:00,3,121.97,0,0.1,96.16,1,25.83,63.52,0
2025-10-15 05:00,3,123.21,0,0.11,98.98,1.12,27.02,66.09,0
2025-10-15 06:00,3,127.72,0,0.13,107.2,1.53,30.58,74.8,0
2025-10-15 07:00,3,131.62,0,0.16,112.99,1.87,33.49,81.84,0
2025-10-15 08:00,3,134.13,0,0.22,116.59,2.11,35.31,86.29,0
2025-10-15 09:00,3,135.8,0.01,0.22,118.48,2.25,36.4,89.12,0
2025-10-15 10:00,3,135.34,0.02,0.2,117.56,2.21,36.28,88.51,0
2025-10-15 11:00,3,134.08,0.02,0.17,115.78,2.07,35.58,86.52,0
2025-10-15 12:00,3,132.07,0.02,0.14,112.93,1.9,34.67,84.24,0
2025-10-15 13:00,3,130.39,0.02,0.13,110.06,1.74,33.83,82.43,0
2025-10-15 14:00,3,129.2,0.02,0.13,107.87,1.63,33.27,81.54,0
2025-10-15 15:00,3,130,0.02,0.14,108.11,1.68,33.91,83.93,0
2025-10-15 16:00,3,131.48,0.01,0.16,109.37,1.78,34.95,87.1,0
2025-10-15 17:00,3,132.54,0.01,0.19,110.56,1.86,35.66,89.12,0
2025-10-15 18:00,3,132.53,0,0.23,110.8,1.86,35.79,89.24,0
2025-10-15 19:00,3,131.65,0,0.22,109.76,1.77,35.43,87.9,0
2025-10-15 20:00,3,130.97,0,0.2,109.08,1.7,35.21,86.83,0
2025-10-15 21:00,3,130.01,0,0.18,108.29,1.63,34.85,85.49,0
2025-10-15 22:00,3,129.31,0,0.16,107.65,1.56,34.42,83.94,0
2025-10-15 23:00,3,128.89,0,0.15,107.45,1.51,34.12,82.75,0
2025-10-16 00:00,3,128.62,0,0.13,107.61,1.48,33.99,82.01,0
2025-10-16 01:00,3,128.37,0,0.12,107.88,1.46,33.99,81.61,0
2025-10-16 02:00,3,128.22,0,0.12,107.92,1.43,33.95,81.22,0
2025-10-16 03:00,3,127.96,0,0.11,107.98,1.4,33.84,80.56,0
2025-10-16 04:00,3,127.61,0,0.11,107.53,1.38,33.54,79.45,0
2025-10-16 05:00,3,127.11,0,0.11,106.75,1.35,33.05,78.04,0
2025-10-16 06:00,3,127.38,0,0.13,106.88,1.4,32.68,77.29,0
2025-10-16 07:00,3,128,0,0.15,106.81,1.42,32.3,76.7,0
2025-10-16 08:00,3,128.51,0,0.22,106.85,1.39,31.91,76.38,0
2025-10-16 09:00,3,129.03,0.01,0.22,106.82,1.4,31.84,77.46,0
2025-10-16 10:00,3,129.57,0.02,0.21,106.87,1.5,32.19,80.08,0
2025-10-16 11:00,3,130.34,0.02,0.2,107.16,1.75,32.95,84.19,0
2025-10-16 12:00,3,131.42,0.03,0.2,107.01,2.01,34.02,88.32,0
2025-10-16 13:00,3,132.87,0.03,0.2,106.26,2.19,35.18,92.27,0
2025-10-16 14:00,3,134.52,0.03,0.21,106.38,2.53,36.44,96.24,0
2025-10-16 15:00,3,135.69,0.03,0.24,107.11,2.87,37.45,99.3,0
2025-10-16 16:00,3,134.98,0.02,0.25,106.92,2.91,37.57,99.92,0
2025-10-16 17:00,3,133.19,0.02,0.28,106.39,2.79,37.06,98.8,0
2025-10-16 18:00,3,131.62,0,0.31,105.54,2.59,36.29,96.74,0
2025-10-16 19:00,3,130.61,0,0.28,104.37,2.25,35.45,94.02,0
2025-10-16 20:00,3,130.07,0,0.24,103.28,1.89,34.65,91.31,0
2025-10-16 21:00,3,129.94,0,0.22,102.08,1.6,34.06,89,0
2025-10-16 22:00,3,130.39,0,0.2,100.81,1.38,33.7,87.41,0
2025-10-16 23:00,3,130.98,0,0.18,99.81,1.21,33.51,86.48,0
2025-10-17 00:00,3,131.28,0,0.17,99.06,1.11,33.43,86.25,0
2025-10-17 01:00,3,132.14,0,0.16,98.9,1.06,33.63,86.99,0
2025-10-17 02:00,3,133.33,0,0.16,98.84,1.05,34,88.35,0
2025-10-17 03:00,3,134.97,0,0.16,99.16,1.08,34.58,90.43,0
2025-10-17 04:00,3,137.73,0,0.17,99.6,1.14,35.34,92.73,0
2025-10-17 05:00,3,141.01,0,0.19,100.01,1.21,36.16,94.88,0
2025-10-17 06:00,3,145.55,0,0.21,101.36,1.34,37.05,97.34,0.01
2025-10-17 07:00,3,150.23,0,0.24,102.85,1.47,37.96,99.24,0.02
2025-10-17 08:00,4,155.21,0.01,0.34,104.77,1.61,38.9,100.76,0.03
2025-10-17 09:00,4,158.44,0.02,0.36,108.8,1.9,40.34,103.79,0.05
2025-10-17 10:00,4,160.64,0.03,0.32,112.34,2.07,42,107.18,0.06
2025-10-17 11:00,4,162.36,0.03,0.27,114.78,2.14,43.76,111.17,0.08
2025-10-17 12:00,4,163.6,0.03,0.23,116.26,2.18,45.57,115.39,0.1
2025-10-17 13:00,4,164.53,0.03,0.22,116.48,2.19,47.42,119.71,0.1
2025-10-17 14:00,4,165.52,0.03,0.22,117.3,2.28,49.38,124.95,0.12
2025-10-17 15:00,4,166.55,0.03,0.24,117.93,2.41,51.18,129.89,0.11
2025-10-17 16:00,4,165.69,0.02,0.26,117.58,2.39,52.03,132.2,0.09
