Date_Time,Temp_C,Humidity_%,Wind_Speed_kmh,Pressure_hPa,US_AQI,PM2.5_ugm3,PM10_ugm3,NO2_ugm3,CO_ugm3,SO2_ugm3,O3_ugm3
2025-11-22T00:00,21.2,73,9.1,1017.2,111,59.3,60.8,76.2,1011.0,27.4,9.0
2025-11-22T01:00,20.8,74,9.0,1017.0,114,56.1,58.0,71.5,672.0,24.2,10.0
2025-11-22T02:00,20.5,75,8.6,1016.6,117,50.9,52.7,64.9,423.0,21.4,13.0
2025-11-22T03:00,20.2,74,8.9,1016.1,119,46.3,48.2,54.1,311.0,19.2,20.0
2025-11-22T04:00,20.0,67,8.4,1015.8,121,42.6,44.6,41.4,290.0,17.5,29.0
2025-11-22T05:00,19.7,59,7.5,1016.0,122,41.2,43.0,38.7,420.0,17.4,32.0
2025-11-22T06:00,19.4,56,7.3,1016.1,122,40.5,42.1,44.1,847.0,17.9,26.0
2025-11-22T07:00,19.0,56,6.9,1016.8,122,45.3,46.8,51.1,1425.0,18.8,20.0
2025-11-22T08:00,19.4,54,6.7,1017.4,122,51.3,52.6,52.9,1783.0,20.5,27.0
2025-11-22T09:00,21.6,48,5.9,1017.8,121,52.9,54.1,44.7,1715.0,23.7,59.0
2025-11-22T10:00,24.8,39,4.4,1018.1,123,50.8,52.6,31.3,1427.0,27.8,103.0
2025-11-22T11:00,26.9,31,3.5,1018.0,125,52.4,56.5,20.3,1158.0,31.3,140.0
2025-11-22T12:00,28.0,28,2.8,1017.2,128,49.2,54.2,14.2,979.0,33.4,160.0
2025-11-22T13:00,28.6,28,4.7,1016.1,131,47.0,52.2,10.5,820.0,34.9,173.0
2025-11-22T14:00,28.7,30,8.3,1014.9,133,47.3,52.5,9.4,712.0,36.5,180.0
2025-11-22T15:00,28.1,36,11.4,1014.3,135,48.3,53.7,10.4,664.0,38.9,186.0
2025-11-22T16:00,27.4,39,11.1,1014.0,136,49.4,54.5,14.1,666.0,41.4,187.0
2025-11-22T17:00,26.5,41,8.4,1014.0,138,64.3,69.8,19.9,724.0,49.5,181.0
2025-11-22T18:00,25.4,44,6.7,1014.3,145,73.1,78.0,33.0,853.0,45.9,146.0
2025-11-22T19:00,24.6,46,6.8,1014.8,153,72.4,77.5,51.2,1038.0,41.0,98.0
2025-11-22T20:00,24.0,48,6.3,1015.4,145,69.6,75.7,65.9,1232.0,37.3,58.0
2025-11-22T21:00,23.6,51,4.2,1015.6,145,68.0,75.0,74.2,1484.0,36.4,35.0
2025-11-22T22:00,23.2,53,4.3,1015.8,146,69.8,78.0,79.0,1745.0,36.7,21.0
2025-11-22T23:00,22.2,67,2.7,1015.8,147,78.2,86.8,80.2,1830.0,35.6,12.0
2025-11-23T00:00,22.1,65,4.4,1015.6,149,81.5,87.5,76.4,1593.0,31.3,8.0
2025-11-23T01:00,21.0,69,6.4,1015.5,150,75.2,79.6,69.0,1179.0,25.5,9.0
2025-11-23T02:00,20.0,71,6.7,1015.1,151,70.3,73.6,61.9,838.0,20.9,11.0
2025-11-23T03:00,19.3,74,7.2,1014.6,151,66.1,69.4,56.0,614.0,18.4,12.0
2025-11-23T04:00,19.1,74,6.9,1014.6,152,62.6,65.9,50.4,463.0,17.2,14.0
2025-11-23T05:00,18.7,66,6.9,1015.0,152,72.2,75.4,49.8,496.0,15.7,8.0
