hour,day_of_week,aqi_lag_1h,aqi_lag_24h,aqi_change_rate,Wind_Speed_kmh,PM2.5_ugm3,aqi
0,2,109,134,-1,9.2,44,108
1,2,108,131,0,9.5,43.9,108
2,2,108,128,1,10,43.9,109
3,2,109,127,1,10.7,44.1,110
4,2,110,125,0,11,44.5,110
5,2,110,125,1,11.6,44.9,111
6,2,111,124,1,11.2,45.9,112
7,2,112,123,1,10.6,49.4,113
8,2,113,122,1,9.7,53.6,114
9,2,114,120,1,7.3,54.2,115
10,2,115,119,1,6.9,49.6,116
11,2,116,118,1,8.3,36.7,117
12,2,117,119,-1,5.6,25.1,116
13,2,116,119,-1,3.8,21.7,115
14,2,115,120,-1,1.1,21.1,114
15,2,114,120,-1,3.9,20.8,113
16,2,113,121,-2,2.7,20.7,111
17,2,111,122,-1,5.9,31.4,110
18,2,110,122,0,9.5,46.1,110
19,2,110,120,1,8.2,48.5,111
20,2,111,117,0,6.3,40.2,111
21,2,111,113,0,6.3,34,111
22,2,111,110,-1,7,31,110
23,2,110,109,-1,8.4,29.9,109
0,3,109,108,-1,9.5,30.4,108
1,3,108,108,-2,9.7,31.7,106
2,3,106,109,-1,10,33.3,105
3,3,105,110,-1,10.1,34.6,104
4,3,104,110,-1,10.1,35.5,103
5,3,103,111,-1,10.8,35,102
6,3,102,112,-1,11.8,36,101
7,3,101,113,-1,13.2,38.6,100
8,3,100,114,-1,13,41.1,99
9,3,99,115,-1,12.2,41.7,98
10,3,98,116,-1,12.9,37.1,97
11,3,97,117,-1,15.9,29,96
12,3,96,116,-1,15.8,24.5,95
13,3,95,115,0,13.9,25.1,95
14,3,95,114,0,12.6,25.4,95
15,3,95,113,1,12.3,25.8,96
16,3,96,111,0,12.6,26.7,96
17,3,96,110,1,12.5,31.2,97
18,3,97,110,-1,10.9,37.5,96
19,3,96,111,0,11.6,39.9,96
20,3,96,111,-1,11.8,39.5,95
21,3,95,111,0,11.3,37.8,95
22,3,95,110,0,11.8,36.3,95
23,3,95,109,1,12,34.5,96
0,4,96,108,0,12.7,32.6,96
1,4,96,106,0,13,31.3,96
2,4,96,105,0,13.2,31.1,96
3,4,96,104,0,13.3,31.4,96
4,4,96,103,0,13.4,31.9,96
5,4,96,102,-1,12.8,31.5,95
6,4,95,101,0,12.8,32.2,95
7,4,95,100,0,12.8,34.6,95
8,4,95,99,-1,12.8,37.5,94
9,4,94,98,0,11,38.6,94
10,4,94,97,0,11,39.1,94
11,4,94,96,0,12.6,41.2,94
12,4,94,95,1,13.1,41.1,95
13,4,95,95,2,11.5,39,97
14,4,97,95,1,11.1,37.7,98
15,4,98,96,1,11.4,37.4,99
16,4,99,96,1,11.9,38,100
17,4,100,97,1,11.9,34,101
18,4,101,96,4,10.3,41.6,105
19,4,105,96,-2,10,43.8,103
20,4,103,95,-1,11,43.5,102
21,4,102,95,1,10.5,43.7,103
22,4,103,95,0,10,44,103
23,4,103,96,1,10.2,44.2,104
0,5,104,96,1,10.1,43.3,105
1,5,105,96,1,10.4,41.9,106
2,5,106,96,1,10.8,40.7,107
3,5,107,96,1,11,39.7,108
4,5,108,96,1,11.5,39,109
5,5,109,95,1,12,39.2,110
6,5,110,95,1,12,39.7,111
7,5,111,95,1,12,42.5,112
8,5,112,94,0,11.8,46.3,112
9,5,112,94,1,9.7,47.3,113
10,5,113,94,1,8.9,45.8,114
11,5,114,94,1,9.8,45.5,115
12,5,115,95,0,9.3,44.6,115
13,5,115,97,1,7.9,42.3,116
14,5,116,98,0,8.1,40.9,116
15,5,116,99,0,7.8,40.3,116
16,5,116,100,1,7.9,40.7,117
17,5,117,101,0,8.8,25.4,117
18,5,117,105,3,8.8,37.8,120
19,5,120,103,-1,9.9,40.3,119
20,5,119,102,-4,10.3,38.8,115
21,5,115,103,0,10.5,38.4,115
22,5,115,103,-1,10.5,39.1,114
23,5,114,104,0,10.3,39.2,114
0,6,114,105,-1,9.7,38.4,113
1,6,113,106,0,9.9,36.8,113
2,6,113,107,-1,10.4,35.5,112
